,Partners,date,DairyEggHoney,Cereal,Fish,FruitNut,LiveAnimal,Meat,Vegetables,TotalBalance,Rate Per Million,sub-region
0,New Zealand,7/1/2018 0:00,0.6041614736017994,-0.7258718001453722,-0.06084666349885141,0.26041098533359486,-0.654760846502491,-0.14937182101321086,-0.6103935646182995,0.4231952106064996,0,Australia and New Zealand
1,New Zealand,8/1/2018 0:00,-2.060394787641746,-0.835441128396868,-0.5099649827261572,-0.02702198944411987,-0.6071160649189079,-1.2492174349434075,-0.8467375554754913,-2.017553548042221,0,Australia and New Zealand
2,New Zealand,2/1/2020 0:00,0.3093472923586775,0.8722308993690997,-0.624982279492955,-1.182045564355739,0.017754292027300247,0.697715484680466,1.0823871101743103,-0.008680586377453984,0,Australia and New Zealand
3,Spain,7/1/2018 0:00,-1.2592492889767561,0.31104763737309127,-1.2080924841260703,-0.46347286913852087,2.380111877243168,-1.5035203661352017,-1.272761007188173,-1.3434720963504097,0,Southern Europe
4,Spain,8/1/2018 0:00,0.16996320210318233,0.22946037528591548,-0.3668702097096588,-1.0374974489640727,2.313296299968467,-1.4649735605416077,-1.4556291693392922,-1.5121935591179307,0,Southern Europe
5,Brazil,7/1/2018 0:00,-0.4811645091549122,-0.8811319429943972,0.006246336261267468,-2.402597885007392,0.48214526551108783,0.19460790986430654,0.46249230993101326,-0.7125731683140231,0,Latin America and the Caribbean
6,Brazil,2/1/2020 0:00,0.3677142134689472,-0.9850517806979616,-1.242608211632074,-0.6017175090303076,-1.1537999192006974,-0.6469645462142849,-0.8308157711106455,-1.2766521440360545,0,Latin America and the Caribbean
7,Brazil,8/1/2018 0:00,0.2228326383467399,-0.14350071001223266,0.5425835376662266,-1.6276717598250552,0.9737230456710835,-0.007443236053990872,1.1070253173674276,-0.08365673071725802,0,Latin America and the Caribbean
8,Canada,7/1/2018 0:00,1.2222089053848968,-0.7370103564100142,0.27855966780344615,0.18568086261676747,-0.2760586192356523,-1.407039037764716,0.2731464934170243,-0.2636579358740628,0,Northern America
9,Canada,2/1/2020 0:00,1.682516757780278,-1.6918386197598099,-0.8226756498110374,0.22026377384603113,0.5171797221925374,-0.07084748562541524,-0.8147024706754789,-1.3808560611698895,0,Northern America
10,Canada,8/1/2018 0:00,0.39613319806830527,-0.2854078156032285,-0.14196839185805854,2.16726204526196,-0.69655494481138,-1.018694427170325,0.3113128918044328,0.07067602604020182,0,Northern America
11,France,7/1/2018 0:00,-1.6737436771430614,-0.5003931191313322,-0.5411754123256373,0.5264464874700677,-0.2970850414710123,-1.3654863718716563,-0.46948342786549285,-0.9583246752018397,0,Western Europe
12,France,2/1/2020 0:00,-0.17663942135201988,1.5516712591191169,1.0392640975338234,0.01805516678537062,-1.0844165673579083,-0.16022509627652493,0.16863792071162703,1.093225180211947,0,Western Europe
13,France,8/1/2018 0:00,-1.1430261058855868,-0.40779758226563884,-0.014610856421541333,1.2504897815006122,-0.3726117768805691,-0.7067356238197049,0.7114905352512857,-0.22639779179220523,0,Western Europe
14,China,7/1/2018 0:00,0.5460808622849841,0.7061883416083766,2.072291661716293,0.4880538977912109,0.6192881166224656,1.4740415421078248,0.8440099643896486,1.3606244606308253,0,Eastern Asia
15,China,2/1/2020 0:00,-0.1798437621464764,0.577980845708566,-1.6809070409178688,0.01979376672364763,0.769565421756626,0.010680759044012507,-2.0899252966009434,-0.18569702590851378,0,Eastern Asia
16,China,8/1/2018 0:00,0.34669531973054407,0.7656726047093642,1.1240783369965865,0.123562418425036,0.5352308817695741,1.3889614010250686,0.19263552878349754,1.0625267904642008,0,Eastern Asia
17,United States of America,7/1/2018 0:00,-1.4525102128792875,0.053827059717166864,0.7331159898817934,0.6288636798020861,0.8700490192477754,-0.9432593358417863,1.4998296198892138,0.7316866492114159,0,Northern America
18,United States of America,8/1/2018 0:00,-0.6604188861942909,-0.13606336246739795,1.2315727065586937,-0.28533737977090945,1.3162959463459254,-0.20473835693216164,1.2635325602853804,0.5114052210250326,0,Northern America
19,Netherlands,7/1/2018 0:00,0.25224540933607514,0.0549386852459426,-1.1360520484948107,0.3791330555908047,-0.08907232659417783,-1.7669459669526222,0.5725390575064252,-0.4238724139357351,0,Western Europe
20,Netherlands,8/1/2018 0:00,0.3904374028540106,0.7914184203830861,-0.32498790098182634,0.7602001891451402,0.35650889104931227,-0.3456164931684514,0.7554927387681377,0.9873083400780638,0,Western Europe
21,Netherlands,2/1/2020 0:00,-0.8165123224303951,0.9581084517380091,0.5220802430522586,0.5107627402727958,0.659036842863589,0.34268451138402684,-1.4772842385700766,-0.6198198708689829,0,Western Europe
22,Australia,7/1/2018 0:00,-0.02369921914387699,0.1610093373689884,0.2490243617192931,1.202270231442794,-0.93945039804323,-0.16585145239184834,-0.8649034883023212,0.11780637733031624,0,Australia and New Zealand
23,Australia,2/1/2020 0:00,-1.2490185791029553,-0.48411339482531685,-1.4849180983981127,-0.7663346898767488,0.15802666047779676,0.2832939591514038,0.6823725786066391,-0.53142421747013,0,Australia and New Zealand
24,Australia,8/1/2018 0:00,-1.0884987056085755,-0.3998346953744389,0.6608195383342498,0.8654203135327581,-0.05071173773447553,0.24345303423920306,-1.0096693090432063,-0.2554203443334951,0,Australia and New Zealand
25,Argentina,2/1/2020 0:00,0.18256823912880096,-0.06735556340497968,0.26750580874986596,0.050495875919886336,0.9386530843263139,-0.7914283611855891,1.4245348771586341,-0.098686423897184,0,Latin America and the Caribbean
